Company,Variable,Coefficient,P_Value
INFY,PAT_Growth,-749.6342114088407,0.0020800331947784514
WIPRO,EBITDA_Growth,-26.167754531935998,0.002895684331001337
TCS,Sales_Growth,-1825.5289675907047,0.019092770418309327
